time,noun_eventive_intransitive,noun_eventive_transitive,noun_noneventive_intransitive,noun_noneventive_transitive,verb_eventive_intransitive,verb_eventive_transitive,verb_noneventive_intransitive,verb_noneventive_transitive
-0.025,0.8545766223,0.7638028857,0.9278106173,0.816796715,0.872347839,0.8342925234,0.9136875883,0.9020516567
-0.02,0.8509232477,0.7958484548,0.904242574,0.8547808452,0.8688330735,0.8102029257,0.9056810527,0.8382334051
-0.015,0.8305609383,0.7797369557,0.8353036433,0.8066094401,0.8376267485,0.7719506015,0.8607879637,0.8479580215
-0.01,0.8286859871,0.8029344239,0.8573569214,0.7897565387,0.8250845067,0.8282733926,0.8851030225,0.8540610265
-0.005,0.8484026081,0.8612610114,0.8681223304,0.7933618472,0.8451818,0.9526943168,0.9169331527,0.86169087
0,0.8834893384,0.9299203011,0.9352113966,0.7899021435,0.8794478112,1.0322892883,0.994703658,0.8965743961
0.005,0.9117444655,0.9878040633,0.9953342943,0.8798285218,0.8693154801,1.056727708,1.0590033191,0.9133999929
0.01,0.9965163368,1.0033359102,0.9769976526,0.9670532321,0.8550341808,1.0451798673,1.0532338653,0.9602456249
0.015,1.074838455,0.9490454507,0.9504931923,1.0093356394,0.8744554054,1.028842819,1.1034031051,1.0082247557
0.02,1.0665052612,0.9792439735,1.0097734353,1.0317731042,0.8828858473,1.0042648417,1.1995568741,1.0134935216
0.025,1.023393309,0.9739051373,1.048573448,1.0133469492,0.8852150944,0.9931083951,1.1886306639,1.0064650073
0.03,1.052365076,0.9623524862,1.047124857,0.996114564,0.9097892704,0.9792650503,1.1449641696,0.9834521118
0.035,1.145684811,1.0369401435,1.0323928733,0.994195806,0.9408498748,0.9907812196,1.1235942509,1.0050460527
0.04,1.1687866255,1.0805246149,1.0405931215,1.0553320154,0.9374693247,1.0131325568,1.08948858,1.0432897135
0.045,1.1241451695,1.0763282919,1.0480126274,1.1156990739,0.9523847558,1.0427536093,1.0949075457,1.0861023976
0.05,1.0498181092,1.0051468339,1.0125730231,1.0993112675,0.9882923157,1.0676300536,1.1555022414,1.124232462
0.055,1.0032703416,0.9470788008,0.9797989256,1.0994625137,0.9803374726,1.0560553816,1.1734644339,1.1399145845
0.06,1.022132646,0.9746865247,0.9535408518,1.0913283265,0.9504460376,1.0517208151,1.1465121503,1.1297314644
0.065,1.0275771875,1.036581705,0.9495761433,1.0166512929,1.0122611725,1.0485046257,1.1446599647,1.1058183603
0.07,0.9937110116,1.0162275956,0.9995394992,0.9990294345,1.0844127834,1.0589792293,1.1545577471,1.1061621799
0.075,0.9791075325,0.9857007998,1.0675499888,1.0498932961,1.1079544271,1.0641314845,1.132734173,1.1379892744
0.08,1.0086018503,0.9811821707,1.1093052024,1.1361093911,1.1254463866,1.071044415,1.0917185925,1.1435852886
0.085,1.0649890188,1.0133244273,1.1685612343,1.1611866799,1.0911834099,1.1116343877,1.0319236324,1.1063094274
0.09,1.0756803364,1.0615185688,1.2008784773,1.1548477539,1.038349652,1.1820068533,1.037760173,1.0987947443
0.095,1.0349177919,1.0833870932,1.2009093971,1.1362712227,1.0574288645,1.2544058707,1.112427556,1.0888717862
0.1,1.0016710156,1.0606875893,1.1903355123,1.1310971695,1.0911240435,1.2385240714,1.1518383782,1.0704185894
0.105,1.0701014719,1.1014449289,1.1971174913,1.1676837118,1.1701007808,1.2082403661,1.1493696971,1.1131765649
